0.000 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.966, NAV_HEADING=89.999, NAV_PITCH=0.017, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.966}
4.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.940, NAV_HEADING=92.878, NAV_PITCH=0.025, NAV_ROLL=-0.001, NAV_SPEED=0.058, NAV_VX=0.058, NAV_VY=0.001, NAV_X=0.026, NAV_Y=-0.000, NAV_YAW=-1.621, NAV_Z=-1.940}
6.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.927, NAV_HEADING=101.766, NAV_PITCH=-0.004, NAV_ROLL=0.003, NAV_SPEED=0.134, NAV_VX=0.133, NAV_VY=0.016, NAV_X=0.229, NAV_Y=-0.012, NAV_YAW=-1.776, NAV_Z=-1.927}
8.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.930, NAV_HEADING=110.664, NAV_PITCH=-0.011, NAV_ROLL=0.000, NAV_SPEED=0.188, NAV_VX=0.184, NAV_VY=0.041, NAV_X=0.555, NAV_Y=-0.049, NAV_YAW=-1.931, NAV_Z=-1.930}
10.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=325.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.951, NAV_HEADING=118.041, NAV_PITCH=-0.004, NAV_ROLL=-0.001, NAV_SPEED=0.224, NAV_VX=0.215, NAV_VY=0.064, NAV_X=0.965, NAV_Y=-0.120, NAV_YAW=-2.060, NAV_Z=-1.951}
12.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=324.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.987, NAV_HEADING=123.237, NAV_PITCH=0.003, NAV_ROLL=-0.001, NAV_SPEED=0.248, NAV_VX=0.235, NAV_VY=0.079, NAV_X=1.428, NAV_Y=-0.228, NAV_YAW=-2.151, NAV_Z=-1.987}
14.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=323.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.036, NAV_HEADING=126.753, NAV_PITCH=0.010, NAV_ROLL=-0.000, NAV_SPEED=0.265, NAV_VX=0.250, NAV_VY=0.088, NAV_X=1.923, NAV_Y=-0.371, NAV_YAW=-2.212, NAV_Z=-2.036}
16.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=321.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.096, NAV_HEADING=129.291, NAV_PITCH=0.014, NAV_ROLL=0.000, NAV_SPEED=0.274, NAV_VX=0.259, NAV_VY=0.091, NAV_X=2.435, NAV_Y=-0.545, NAV_YAW=-2.257, NAV_Z=-2.096}
18.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=319.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.165, NAV_HEADING=131.223, NAV_PITCH=0.018, NAV_ROLL=0.000, NAV_SPEED=0.281, NAV_VX=0.265, NAV_VY=0.092, NAV_X=2.955, NAV_Y=-0.745, NAV_YAW=-2.290, NAV_Z=-2.165}
20.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=318.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.241, NAV_HEADING=132.734, NAV_PITCH=0.019, NAV_ROLL=0.000, NAV_SPEED=0.285, NAV_VX=0.270, NAV_VY=0.091, NAV_X=3.477, NAV_Y=-0.969, NAV_YAW=-2.317, NAV_Z=-2.241}
22.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=318.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.323, NAV_HEADING=133.760, NAV_PITCH=0.021, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.274, NAV_VY=0.088, NAV_X=3.997, NAV_Y=-1.213, NAV_YAW=-2.335, NAV_Z=-2.323}
