0.000 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.968, NAV_HEADING=89.985, NAV_PITCH=0.018, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.968}
4.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.945, NAV_HEADING=92.918, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.063, NAV_VX=0.063, NAV_VY=0.001, NAV_X=0.033, NAV_Y=-0.000, NAV_YAW=-1.622, NAV_Z=-1.945}
6.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.936, NAV_HEADING=101.872, NAV_PITCH=-0.004, NAV_ROLL=0.003, NAV_SPEED=0.138, NAV_VX=0.137, NAV_VY=0.017, NAV_X=0.245, NAV_Y=-0.012, NAV_YAW=-1.778, NAV_Z=-1.936}
8.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.942, NAV_HEADING=110.799, NAV_PITCH=-0.011, NAV_ROLL=0.000, NAV_SPEED=0.191, NAV_VX=0.186, NAV_VY=0.043, NAV_X=0.578, NAV_Y=-0.049, NAV_YAW=-1.934, NAV_Z=-1.942}
10.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=325.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.966, NAV_HEADING=118.472, NAV_PITCH=-0.004, NAV_ROLL=-0.001, NAV_SPEED=0.226, NAV_VX=0.216, NAV_VY=0.066, NAV_X=0.991, NAV_Y=-0.119, NAV_YAW=-2.068, NAV_Z=-1.966}
12.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=324.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.004, NAV_HEADING=123.580, NAV_PITCH=0.004, NAV_ROLL=-0.001, NAV_SPEED=0.249, NAV_VX=0.235, NAV_VY=0.081, NAV_X=1.457, NAV_Y=-0.227, NAV_YAW=-2.157, NAV_Z=-2.004}
14.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=323.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.056, NAV_HEADING=127.100, NAV_PITCH=0.010, NAV_ROLL=-0.000, NAV_SPEED=0.265, NAV_VX=0.250, NAV_VY=0.089, NAV_X=1.954, NAV_Y=-0.371, NAV_YAW=-2.218, NAV_Z=-2.056}
16.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=323.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.118, NAV_HEADING=129.005, NAV_PITCH=0.016, NAV_ROLL=-0.000, NAV_SPEED=0.275, NAV_VX=0.260, NAV_VY=0.090, NAV_X=2.467, NAV_Y=-0.545, NAV_YAW=-2.252, NAV_Z=-2.118}
18.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=322.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.189, NAV_HEADING=129.886, NAV_PITCH=0.020, NAV_ROLL=-0.000, NAV_SPEED=0.281, NAV_VX=0.267, NAV_VY=0.086, NAV_X=2.988, NAV_Y=-0.746, NAV_YAW=-2.267, NAV_Z=-2.189}
20.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=322.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.266, NAV_HEADING=130.323, NAV_PITCH=0.022, NAV_ROLL=-0.000, NAV_SPEED=0.285, NAV_VX=0.273, NAV_VY=0.081, NAV_X=3.511, NAV_Y=-0.968, NAV_YAW=-2.275, NAV_Z=-2.266}
22.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=321.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.348, NAV_HEADING=130.618, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.287, NAV_VX=0.277, NAV_VY=0.077, NAV_X=4.034, NAV_Y=-1.206, NAV_YAW=-2.280, NAV_Z=-2.348}
