0.000 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=69.969, NAV_HEADING=90.000, NAV_PITCH=0.018, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-5.006, NAV_Y=-5.000, NAV_YAW=-1.571, NAV_Z=-69.969}
4.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=69.948, NAV_HEADING=89.985, NAV_PITCH=0.036, NAV_ROLL=-0.002, NAV_SPEED=0.001, NAV_VX=0.001, NAV_VY=-0.000, NAV_X=-5.011, NAV_Y=-4.999, NAV_YAW=-1.571, NAV_Z=-69.948}
6.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=69.942, NAV_HEADING=89.978, NAV_PITCH=0.037, NAV_ROLL=-0.000, NAV_SPEED=0.005, NAV_VX=0.005, NAV_VY=-0.001, NAV_X=-5.003, NAV_Y=-5.001, NAV_YAW=-1.570, NAV_Z=-69.942}
8.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=69.952, NAV_HEADING=89.972, NAV_PITCH=0.036, NAV_ROLL=0.000, NAV_SPEED=0.008, NAV_VX=0.008, NAV_VY=-0.000, NAV_X=-4.989, NAV_Y=-5.002, NAV_YAW=-1.570, NAV_Z=-69.952}
10.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=69.976, NAV_HEADING=89.971, NAV_PITCH=0.035, NAV_ROLL=0.000, NAV_SPEED=0.010, NAV_VX=0.010, NAV_VY=-0.000, NAV_X=-4.971, NAV_Y=-5.002, NAV_YAW=-1.570, NAV_Z=-69.976}
12.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.015, NAV_HEADING=89.965, NAV_PITCH=0.036, NAV_ROLL=-0.000, NAV_SPEED=0.012, NAV_VX=0.012, NAV_VY=-0.000, NAV_X=-4.948, NAV_Y=-5.003, NAV_YAW=-1.570, NAV_Z=-70.015}
14.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.066, NAV_HEADING=89.970, NAV_PITCH=0.035, NAV_ROLL=-0.000, NAV_SPEED=0.014, NAV_VX=0.014, NAV_VY=-0.000, NAV_X=-4.921, NAV_Y=-5.004, NAV_YAW=-1.570, NAV_Z=-70.066}
16.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.129, NAV_HEADING=89.961, NAV_PITCH=0.035, NAV_ROLL=0.000, NAV_SPEED=0.016, NAV_VX=0.016, NAV_VY=-0.000, NAV_X=-4.888, NAV_Y=-5.004, NAV_YAW=-1.570, NAV_Z=-70.129}
18.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.201, NAV_HEADING=89.978, NAV_PITCH=0.035, NAV_ROLL=-0.000, NAV_SPEED=0.018, NAV_VX=0.018, NAV_VY=-0.000, NAV_X=-4.851, NAV_Y=-5.005, NAV_YAW=-1.570, NAV_Z=-70.201}
20.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.282, NAV_HEADING=89.957, NAV_PITCH=0.035, NAV_ROLL=-0.000, NAV_SPEED=0.020, NAV_VX=0.020, NAV_VY=-0.000, NAV_X=-4.810, NAV_Y=-5.006, NAV_YAW=-1.570, NAV_Z=-70.282}
22.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.368, NAV_HEADING=89.967, NAV_PITCH=0.036, NAV_ROLL=-0.000, NAV_SPEED=0.022, NAV_VX=0.022, NAV_VY=-0.000, NAV_X=-4.765, NAV_Y=-5.006, NAV_YAW=-1.570, NAV_Z=-70.368}
